LV,NODE,L1,DATA_TIME,U,IR,IX
1,354010389383,A,2019-04-20 22:45:00,229.3571429,19.98273275,6.804677083
1,354019022839,A,2019-04-18 15:00:00,229.9571429,8.045832801,7.507156862
1,354010389385,A,2019-04-20 11:00:00,228.24,16.22193026,7.281418491
1,354010389384,A,2019-04-18 06:30:00,230.2,0.034796391,0.370889261
1,354010389382,A,2019-04-18 08:15:00,228.88,27.66627581,22.416526
1,354019022842,A,2019-04-20 13:00:00,228.2,0,0
1,354010389382,A,2019-04-20 09:15:00,228.1,31.80242534,20.35870172
1,354010389385,A,2019-04-19 17:30:00,228.6,-2.541681709,7.762302218
1,354010389382,A,2019-04-19 14:00:00,229,42.99366708,27.62056457
1,354010389386,A,2019-04-19 06:15:00,229.74,-0.836364286,1.995337783
1,354010389385,A,2019-04-20 19:15:00,226.9,2.24969146,1.001169277
1,354010389386,A,2019-04-20 03:30:00,230.38,0.681731499,0.828773252
1,354019022842,A,2019-04-20 05:00:00,231.6,0,0
1,354019022841,A,2019-04-20 09:15:00,228.5,2.802608148,4.128061057
1,354013332709,A,2019-04-20 20:15:00,226.4833333,-12.42542431,19.67694531
1,354010389384,A,2019-04-19 12:45:00,228.3,0.047070775,0.371586029
1,354019022839,A,2019-04-18 06:45:00,229.5714286,13.89351307,9.374057956
1,354010389384,A,2019-04-19 21:00:00,227.5,0.050504138,0.379147877
1,354010389385,A,2019-04-20 08:00:00,229.72,-3.925296124,-14.21980987
1,354010389385,A,2019-04-20 21:00:00,227.78,-22.81355972,-28.76629302
1,354010389386,A,2019-04-19 22:45:00,229.42,3.191856197,3.609531331
1,354010389385,A,2019-04-18 07:45:00,229.6,-2.018290065,7.666879078
1,354010389384,A,2019-04-19 00:45:00,230.6,0.038497268,0.383738166
1,354010389381,A,2019-04-19 01:45:00,231.4857143,-8.694936759,1.151286447
1,354019022841,A,2019-04-18 02:00:00,231.4,-0.221880738,5.891004497
1,354019022843,A,2019-04-20 14:45:00,229.65,16.54278705,1.915525945
1,354010389381,A,2019-04-19 03:45:00,231.5285714,-10.43317724,-10.33599743
1,354010389384,A,2019-04-18 04:15:00,231.8,0.019645991,0.378211523
1,354019022839,A,2019-04-20 17:45:00,228.0714286,8.971391572,12.67866978
1,354019022842,A,2019-04-20 21:30:00,227.3,0,0
1,354019022842,A,2019-04-18 22:00:00,228.4,0,0
1,354010389381,A,2019-04-19 12:45:00,228.2,16.0386258,-2.268484884
1,354010389388,A,2019-04-18 09:15:00,228.425,20.52231664,12.9832479
1,354019022839,A,2019-04-18 18:30:00,229.1285714,-8.799181525,-0.852639362
1,354010389381,A,2019-04-19 16:00:00,229.3857143,-1.35216509,10.597125
1,354010389388,A,2019-04-20 04:30:00,230.8,1.747364181,1.962513601
1,354019022839,A,2019-04-19 13:00:00,229.1,3.912414588,4.997928529
1,354010389386,A,2019-04-18 02:30:00,230.96,0.405508341,2.640568809
1,354019022839,A,2019-04-20 06:30:00,230.1,-2.192064898,5.267152042
1,354019022843,A,2019-04-19 22:15:00,229.2,25.82562876,0.115181214
1,354010389385,A,2019-04-20 05:15:00,230.24,28.04709825,8.638604645
1,354010389385,A,2019-04-19 10:30:00,229.74,1.688505496,-1.041735162
1,354019022842,A,2019-04-18 15:00:00,229.7,0,0
1,354019022843,A,2019-04-19 17:00:00,229.2,16.8962633,0.363730453
1,354019022842,A,2019-04-18 23:00:00,229.2,0,0
1,354010389388,A,2019-04-20 04:45:00,230.675,4.798089006,2.915256596
1,354019022843,A,2019-04-19 10:30:00,229.65,14.56317575,0.791444777
1,354010389385,A,2019-04-19,229.98,21.6373934,-0.970384936
1,354010389383,A,2019-04-19 13:00:00,229.0714286,13.66239227,-4.59444071
1,354010389384,A,2019-04-18 05:45:00,230.5,0.030904993,0.366813455
1,354010389385,A,2019-04-18 16:30:00,229.24,-5.004486221,-2.517119241
1,354010389386,A,2019-04-20 01:15:00,229.46,21.44455031,9.544030384
1,354010389388,A,2019-04-19 14:15:00,229.15,17.25656434,1.286340883
1,354019022842,A,2019-04-19 19:30:00,227.8,0,0
1,354019022843,A,2019-04-19 22:00:00,229.2,23.45779475,0.197703101
1,354013332709,A,2019-04-19 08:15:00,228.6666667,17.58716551,8.6406973
1,354010389383,A,2019-04-20 20:30:00,227.1,27.30785498,12.62026583
1,354010389384,A,2019-04-20 08:00:00,229.2,0.036342712,0.371537977
1,354019022839,A,2019-04-19 23:15:00,230.1285714,20.37381965,1.400653988
1,354010389388,A,2019-04-20 08:30:00,228.175,16.16024206,0.974283635
1,354010389383,A,2019-04-18 10:30:00,228.3714286,53.44168331,4.215885258
1,354010389382,A,2019-04-19 23:30:00,228.96,60.30474619,26.06711441
1,354010389381,A,2019-04-18 20:45:00,227.9428571,17.57763477,17.272876
1,354010389381,A,2019-04-20 16:45:00,228.7,-2.614015377,6.276458914
1,354010389381,A,2019-04-19 13:45:00,229.2,-1.53194095,3.949126958
